"doc_id","court_code","cause_num","adjudication_date"
50068885,422,"205/3032/14-к","2014-04-10"
50068953,422,"205/4031/14-к","2014-05-19"
50068954,422,"205/4033/14-к","2014-05-19"
50098906,435,"214/1240/15-к","2015-02-24"
50098908,435,"214/1247/15-к","2015-02-24"
50098936,435,"214/1878/15-к","2015-03-20"
50101613,904,"341/305/15-к","2015-02-10"
50101614,904,"341/301/15-к","2015-02-10"
50101615,904,"341/407/15-к","2015-02-25"
50101616,904,"341/303/15-к","2015-02-10"
50101617,904,"341/408/15-к","2015-02-25"
50101619,904,"341/411/15-к","2015-02-25"
50101621,904,"341/410/15-к","2015-02-25"
50101622,904,"341/412/15-к","2015-02-25"
50101624,904,"341/409/15-к","2015-02-25"
50125817,225,"147/1556/14-к","2014-12-23"
50125829,225,"147/1542/14-к","2014-12-22"
50125831,225,"147/1555/14-к","2014-12-23"
50125844,225,"147/174/15-к","2015-02-12"
50125849,225,"147/177/15-к","2015-02-14"
50125852,225,"147/173/15-к","2015-02-12"
50125853,225,"147/172/15-к","2015-02-12"
50125854,225,"147/191/15-к","2015-02-16"
50125856,225,"147/175/15-к","2015-02-14"
50125860,225,"147/192/15-к","2015-02-16"
50129405,538,"265/2926/14-к","2014-05-08"
50130720,706,"302/479/15-к","2015-05-06"
50130730,706,"302/531/15-к","2015-05-18"
50130738,706,"302/555/15-к","2015-05-22"
50130739,706,"302/550/15-к","2015-05-22"
50130742,706,"302/552/15-к","2015-05-22"
50130743,706,"302/548/15-к","2015-05-22"
50130748,706,"302/636/15-к","2015-06-15"
50130751,706,"302/635/15-к","2015-06-15"
50130797,706,"302/258/14-к","2014-03-05"
50130798,706,"302/256/14-к","2014-03-05"
50130817,706,"302/424/14-к","2014-04-03"
50130825,706,"302/480/15-к","2015-05-06"
50130827,706,"302/439/14-к","2014-04-07"
50130832,706,"302/530/15-к","2015-05-18"
50130839,706,"302/551/15-к","2015-05-22"
50130842,706,"302/549/15-к","2015-05-22"
50130898,706,"302/257/14-к","2014-03-05"
50130913,706,"302/1364/14-к","2014-11-05"
50130919,706,"302/425/14-к","2014-04-03"
50130920,706,"302/481/15-к","2015-05-06"
50130922,706,"302/1366/14-к","2014-11-05"
50130927,706,"302/438/14-к","2014-04-07"
50130928,706,"302/533/15-к","2015-05-18"
50130930,706,"302/1451/14-к","2014-11-25"
50130932,706,"302/1537/14-к","2014-12-23"
50130937,706,"302/554/15-к","2015-05-22"
50130941,706,"302/553/15-к","2015-05-22"
50130942,706,"302/1539/14-к","2014-12-23"
50130948,706,"302/637/15-к","2015-06-15"
50131007,706,"302/423/14-к","2014-04-03"
50131009,706,"302/440/14-к","2014-04-07"
50131016,706,"302/1452/14-к","2014-11-25"
50131054,706,"302/1365/14-к","2014-11-05"
50131056,706,"302/1450/14-к","2014-11-25"
50131059,706,"302/1538/14-к","2014-12-23"
50133416,809,"332/3269/14-к","2014-06-20"
50133425,809,"332/3263/14-к","2014-06-20"
50133561,809,"332/4560/14-к","2014-09-11"
50133565,809,"332/4560/14-к","2014-09-11"
50133570,809,"332/4560/14-к","2014-09-11"
50133572,809,"332/4560/14-к","2014-09-11"
50133732,809,"332/4560/14-к","2014-12-19"
50133737,809,"332/4560/14-к","2014-12-19"
50133753,809,"332/4560/14-к","2014-12-19"
50133755,809,"332/4560/14-к","2014-12-19"
50136425,819,"819/5596/2012","2012-12-26"
50139015,1318,"452/3684/14-к","2014-12-12"
50139016,1318,"452/3750/14-к","2014-12-16"
50139019,1318,"452/3749/14-к","2014-12-16"
50139027,1318,"452/3824/14-к","2014-12-23"
50139031,1318,"452/3825/14-к","2014-12-23"
50144921,1416,"489/6931/13-к","2013-08-27"
50145699,1503,"493/76/15-к","2015-01-17"
50145727,1503,"493/74/15-к","2015-01-17"
50145795,1503,"493/904/15-к","2015-04-29"
50152418,2120,"668/3900/14-к","2014-03-26"
50152425,2120,"668/3901/14-к","2014-03-26"
50152427,2120,"668/3739/14-к","2014-03-27"
50152436,2120,"668/3899/14-к","2014-03-26"
50152454,2120,"668/4601/14-к","2014-04-08"
50152461,2120,"668/4596/14-к","2014-04-08"
50152470,2120,"668/4594/14-к","2014-04-08"
50155305,2516,"741/278/14-к","2014-02-06"
50155319,2516,"741/417/14-к","2014-03-03"
50155324,2516,"741/279/14-к","2014-02-06"
50155326,2516,"741/420/14-к","2014-03-03"
50155328,2516,"741/256/14-к","2014-02-04"
50155331,2516,"741/452/14-к","2014-03-11"
